"accession","X20181107_18.053_16_1_track16.x","X20181107_18.053_17_1_track17.x","X20181107_18.053_18_1_track18.x","X20181107_18.053_7_1_track7.x","X20181107_18.053_8_1_track8.x","X20181107_18.053_9_1_track9.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_16_1_track16.y","X20181107_18.053_17_1_track17.y","X20181107_18.053_18_1_track18.y","X20181107_18.053_7_1_track7.y","X20181107_18.053_8_1_track8.y","X20181107_18.053_9_1_track9.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659918039|emb|CDP48638.1|",8.05442624585335,7.8874077073717,7.96005757722958,7.61284350152944,8.09493817752551,7.79428906252365,"b56.a1.a1",0.420669317312135,0.589343488021831,"gi|659918039|emb|CDP48638.1| DNA polymerase III alpha subunit [Propionibacterium freudenreichii subsp. freudenreichii]",0.808267260701817,18,16,16,23,25,23,"b56.a1.a1","OK",0.055628409537145,0.230063208014336,"gi|659918039|emb|CDP48638.1| DNA polymerase III alpha subunit [Propionibacterium freudenreichii subsp. freudenreichii]",1.42
"gi|659918042|emb|CDP48641.1|",8.00545859115636,8.07820072750783,8.01647150461823,6.9121881227551,6.90327043061623,6.91248139553588,"c522.a1.a1",1.01944209808729e-06,0.000591276416890627,"gi|659918042|emb|CDP48641.1| Glutamate synthase large subunit (Ferredoxin) [Propionibacterium freudenreichii subsp. freudenreichii]",0.0749479336224439,3,3,2,4,3,3,"c522.a1.a1","OK",0.63700411833791,0.873136429590779,"gi|659918042|emb|CDP48641.1| Glutamate synthase large subunit (Ferredoxin) [Propionibacterium freudenreichii subsp. freudenreichii]",1.25
"gi|659918043|emb|CDP48642.1|",7.44049019497744,7.54250576674862,7.64919524827542,7.05790358085545,7.44634561628818,5.30689843386574,"c576.a1.a1",0.227800533575147,0.40281801668776,"gi|659918043|emb|CDP48642.1| Prolipoprotein diacylglyceryl transferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.369759773483906,3,3,3,3,3,2,"c576.a1.a1","OK",0.808310906061212,0.91028495461161,"gi|659918043|emb|CDP48642.1| Prolipoprotein diacylglyceryl transferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.888888888888889
"gi|659918044|emb|CDP48643.1|",7.73718884991762,7.83272250644025,6.89739227508902,7.08007191861936,7.41141099452498,5.15602441901344,"c512.a1.a1",0.285628049214175,0.462749353475479,"gi|659918044|emb|CDP48643.1| Tryptophan synthase alpha chain (TrpA) [Propionibacterium freudenreichii subsp. freudenreichii]",0.290782525449187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918046|emb|CDP48645.1|",6.63095827152849,7.07178006825077,7.27045235005908,7.46135072659039,7.91875503296513,5.42512112717636,"c307.a1.a1",0.946861376762239,0.978929765636539,"gi|659918046|emb|CDP48645.1| Indole-3-glycerol phosphate synthase (TrpC) [Propionibacterium freudenreichii subsp. freudenreichii]",3.23035948874917,5,10,8,10,10,7,"c307.a1.a1","OK",0.571402061745642,0.853841547499271,"gi|659918046|emb|CDP48645.1| Indole-3-glycerol phosphate synthase (TrpC) [Propionibacterium freudenreichii subsp. freudenreichii]",1.17391304347826
"gi|659918049|emb|CDP48648.1|",7.36644113869657,7.468132261591,7.81032861458503,7.11253900306415,7.40119683565007,5.47683236504998,"c377.a1.a1",0.223038104788931,0.400263546775595,"gi|659918049|emb|CDP48648.1| Hypothetical protein PFCIRM129_04310 [Propionibacterium freudenreichii subsp. freudenreichii]",0.327895778401877,6,6,7,5,5,2,"c377.a1.a1","OK",0.206704412667361,0.520355891019139,"gi|659918049|emb|CDP48648.1| Hypothetical protein PFCIRM129_04310 [Propionibacterium freudenreichii subsp. freudenreichii]",0.631578947368421
"gi|659918050|emb|CDP48649.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,8,7,8,"c314.a1.a1","OK",0.000120948125421985,0.00205967542998028,"gi|659918050|emb|CDP48649.1| Glutaminyl-tRNA synthetase [Propionibacterium freudenreichii subsp. freudenreichii]",5.75
"gi|659918052|emb|CDP48651.1|",8.68468717108517,9.14674709420065,9.25381010238223,8.66890603167301,8.67441482401698,8.54288999916908,"c162.a1.a1",0.090352412519561,0.232230001133926,"gi|659918052|emb|CDP48651.1| ABC transporter substrate-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.350055720046996,12,17,16,20,15,16,"c162.a1.a1","OK",0.540159340413283,0.840731876610997,"gi|659918052|emb|CDP48651.1| ABC transporter substrate-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.13333333333333
"gi|659918054|emb|CDP48653.1|",5.50357926182716,6.60061077378063,6.76231725392737,6.41947923929615,7.12566490450321,5.2721857324092,"c608.a1.a1",0.981634562782445,0.988451469468434,"gi|659918054|emb|CDP48653.1| ABC protein of ABC transporter [Propionibacterium freudenreichii subsp. freudenreichii]",1.60245607801321,1,3,2,3,3,3,"c608.a1.a1","OK",0.437031079898384,0.759882868652146,"gi|659918054|emb|CDP48653.1| ABC protein of ABC transporter [Propionibacterium freudenreichii subsp. freudenreichii]",1.5
"gi|659918058|emb|CDP48657.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,2,"c503.a1.a1","OK",0.0161879512709665,0.088422865904619,"gi|659918058|emb|CDP48657.1| Sua5_yciO_yrdC [Propionibacterium freudenreichii subsp. freudenreichii]",4
"gi|659918063|emb|CDP48662.1|",7.61373393037528,7.39716315566763,7.24526922930096,7.37552267702216,7.05323007673875,7.26365608817289,"c317.a1.a1",0.258182832528953,0.435403772368377,"gi|659918063|emb|CDP48662.1| DNA primase [Propionibacterium freudenreichii subsp. freudenreichii]",0.638451928123603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918064|emb|CDP48663.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,3,1,"c580.a1.a1","OK",0.147975959385027,0.434914114131628,"gi|659918064|emb|CDP48663.1| Phosphomethylpyrimidine kinase [Propionibacterium freudenreichii subsp. freudenreichii]",3
"gi|659918072|emb|CDP48671.1|",7.24388888892635,6.90241273368242,6.79471944556685,6.47262676701373,6.43594410343615,6.42184454515926,"c635.a1.a1",0.0169491154030326,0.0682875144390429,"gi|659918072|emb|CDP48671.1| Cobalamin biosynthesis protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.262609273989213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918073|emb|CDP48672.1|",8.22543946637436,8.15091989839596,7.92022384085308,8.42564139197996,8.30923520754158,8.47627432014653,"c129.a1.a1",0.0431624102891292,0.136798895998333,"gi|659918073|emb|CDP48672.1| Cobyric acid synthase CbiP/CobQ [Propionibacterium freudenreichii subsp. freudenreichii]",1.9593965900143,16,17,15,17,18,18,"c129.a1.a1","OK",0.618751698597067,0.869556391960441,"gi|659918073|emb|CDP48672.1| Cobyric acid synthase CbiP/CobQ [Propionibacterium freudenreichii subsp. freudenreichii]",1.10416666666667
"gi|659918075|emb|CDP48674.1|",8.05049272549148,7.9368563313487,7.93505523734119,8.54211622180154,9.11875695586886,8.77054969964043,"c144.a1.a1",0.00825584378033653,0.0446278832882957,"gi|659918075|emb|CDP48674.1| Cobyrinic acid A,C-diamide synthase, CbiA [Propionibacterium freudenreichii subsp. freudenreichii]",7.90610009212908,15,17,14,18,14,16,"c144.a1.a1","OK",0.836562801852232,0.910469665925643,"gi|659918075|emb|CDP48674.1| Cobyrinic acid A,C-diamide synthase, CbiA [Propionibacterium freudenreichii subsp. freudenreichii]",1.04347826086957
"gi|659918076|emb|CDP48675.1|",7.36680502271511,7.42500638326153,7.68925132702854,7.18154240210972,7.67741055590398,4.5316787426924,"c585.a1.a1",0.353150880632209,0.530015085907726,"gi|659918076|emb|CDP48675.1| CobU Bifunctional cobalamin biosynthesis pyrophosphate enzyme [Propionibacterium freudenreichii subsp. freudenreichii]",0.635829934401309,1,2,2,3,3,3,"c585.a1.a1","OK",0.281686035221309,0.62971511348702,"gi|659918076|emb|CDP48675.1| CobU Bifunctional cobalamin biosynthesis pyrophosphate enzyme [Propionibacterium freudenreichii subsp. freudenreichii]",1.8
"gi|659918085|emb|CDP48684.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,4,4,4,"c542.a1.a1","OK",0.00487600061502417,0.0348543747666542,"gi|659918085|emb|CDP48684.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",6
"gi|659918089|emb|CDP48688.1|",6.84489125737291,6.62181837531262,6.66957578929029,6.29274479441431,7.04503142066964,6.23401267763548,"c666.a1.a1",0.523896405333068,0.667823989215779,"gi|659918089|emb|CDP48688.1| Hypothetical protein PFCIRM129_04520 [Propionibacterium freudenreichii subsp. freudenreichii]",0.93145198518724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918092|emb|CDP48691.1|",8.14852489413505,7.24569308741288,7.85313659659159,6.45111842202013,7.56978360962025,6.72075888131532,"c685.a1.a1",0.123540467940724,0.279896372678203,"gi|659918092|emb|CDP48691.1| CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.196865130675551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918093|emb|CDP48692.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,0,1,"c474.a1.a1","OK",0.104157079466855,0.342653119382436,"gi|659918093|emb|CDP48692.1| Phosphatidylinositol alpha-mannosyltransferase (glycosyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.461538461538462
"gi|659918097|emb|CDP48696.1|",7.99560032766434,7.76936428413903,7.65487270019266,8.02483260449668,7.67633209933426,7.8256938807894,"c102.a1.a1",0.814231671276198,0.896118347894108,"gi|659918097|emb|CDP48696.1| Threonyl-tRNA synthetase (Threonine--tRNA ligase) (ThrRS) [Propionibacterium freudenreichii subsp. freudenreichii]",1.08535389132452,7,10,5,20,20,20,"c102.a1.a1","OK",1.88568887529148e-05,0.000474701677736419,"gi|659918097|emb|CDP48696.1| Threonyl-tRNA synthetase (Threonine--tRNA ligase) (ThrRS) [Propionibacterium freudenreichii subsp. freudenreichii]",2.72727272727273
"gi|659918100|emb|CDP48699.1|",6.93311775907626,7.61623997953571,7.19272822942047,6.77013099801391,7.26197716333898,4.689816606148,"c523.a1.a1",0.283347888318496,0.46163420006946,"gi|659918100|emb|CDP48699.1| Hypothetical protein PFCIRM129_04595 [Propionibacterium freudenreichii subsp. freudenreichii]",0.369837704550687,4,4,4,4,4,3,"c523.a1.a1","OK",0.834801667160383,0.91028495461161,"gi|659918100|emb|CDP48699.1| Hypothetical protein PFCIRM129_04595 [Propionibacterium freudenreichii subsp. freudenreichii]",0.916666666666667
"gi|659918105|emb|CDP48704.1|",7.92904218026064,7.95144269518334,7.80115658812024,7.71732718263659,7.65702595344426,7.90080698216396,"c217.a1.a1",0.194279014617574,0.371191527401147,"gi|659918105|emb|CDP48704.1| Deoxyxylulose-5-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",0.745485196466083,15,16,16,8,9,12,"c217.a1.a1","OK",0.03802426457628,0.173354718028867,"gi|659918105|emb|CDP48704.1| Deoxyxylulose-5-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",0.617021276595745
"gi|659918109|emb|CDP48708.1|",7.75301877234932,7.58733141345198,7.45845115538778,7.82959730383951,7.53598855420215,7.61437443786516,"c131.a1.a1",0.647523550282997,0.769597662221595,"gi|659918109|emb|CDP48708.1| Aconitase, Aconitate hydratase [Propionibacterium freudenreichii subsp. freudenreichii]",1.15335577360848,11,14,10,18,15,15,"c131.a1.a1","OK",0.152751903207589,0.446125985892611,"gi|659918109|emb|CDP48708.1| Aconitase, Aconitate hydratase [Propionibacterium freudenreichii subsp. freudenreichii]",1.37142857142857
"gi|659918116|emb|CDP48551.1|",7.82340670991757,7.78788251954622,7.55385110631699,7.74795819617452,7.489550950158,7.57012814845956,"c146.a1.a1",0.354561816089996,0.530015085907726,"gi|659918116|emb|CDP48551.1| Helicase (SNF2-related protein) [Propionibacterium freudenreichii subsp. freudenreichii]",0.757303456565329,12,17,14,16,16,16,"c146.a1.a1","OK",0.600087682469214,0.8621607150116,"gi|659918116|emb|CDP48551.1| Helicase (SNF2-related protein) [Propionibacterium freudenreichii subsp. freudenreichii]",1.11627906976744
"gi|659918117|emb|CDP48552.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,5,5,5,"a6.a6.a1","OK",0.563299972842515,0.853797602816277,"gi|659918117|emb|CDP48552.1| S-layer protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",1.25
"gi|659918118|emb|CDP48553.1|",8.90556015966841,8.79565734914964,8.81806888572374,7.73473718844428,8.27439227787521,7.58720690712833,"c442.a1.a1",0.00998625809755626,0.0495045273212191,"gi|659918118|emb|CDP48553.1| Hypothetical protein PFCIRM129_03805 [Propionibacterium freudenreichii subsp. freudenreichii]",0.13466608264243,7,7,6,6,6,6,"c442.a1.a1","OK",0.745546039901448,0.91028495461161,"gi|659918118|emb|CDP48553.1| Hypothetical protein PFCIRM129_03805 [Propionibacterium freudenreichii subsp. freudenreichii]",0.9
"gi|659918119|emb|CDP48554.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,16,14,10,"c218.a1.a1","OK",2.59580859749824e-08,1.36633925268316e-06,"gi|659918119|emb|CDP48554.1| endonuclease IV (deoxyribonuclease IV (phage-T4-induced)) [Propionibacterium freudenreichii subsp. freudenreichii]",8
"gi|659918120|emb|CDP48555.1|",8.53361891123151,8.27431826236928,8.25709356507697,7.91124608513305,7.64121993575321,7.7945138060336,"c133.a1.a1",0.00851933990317843,0.0453322673747109,"gi|659918120|emb|CDP48555.1| Putative long-chain-fatty-acid--CoA ligase/synthetase [Propionibacterium freudenreichii subsp. freudenreichii]",0.264029944614041,16,18,19,15,11,16,"c133.a1.a1","OK",0.258542297960073,0.596398368601125,"gi|659918120|emb|CDP48555.1| Putative long-chain-fatty-acid--CoA ligase/synthetase [Propionibacterium freudenreichii subsp. freudenreichii]",0.792452830188679
"gi|659918125|emb|CDP48560.1|",7.0347431724289,7.11796829765046,7.29180358504648,6.34151156772704,6.48121153655906,6.12207074096454,"c487.a1.a1",0.00296446816785982,0.0221181837499926,"gi|659918125|emb|CDP48560.1| polar amino acid ABC transporter, binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.150420620068058,4,4,4,3,2,2,"c487.a1.a1","OK",0.248553939672604,0.586320626330285,"gi|659918125|emb|CDP48560.1| polar amino acid ABC transporter, binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.583333333333333
"gi|659918126|emb|CDP48561.1|",9.72590484786668,9.80449357570388,9.89446425584722,9.19808787670939,9.07595302941749,9.13602953650451,"b73.a1.a1",0.000365555005505448,0.00951624469179254,"gi|659918126|emb|CDP48561.1| polar amino acid ABC transporter, binding protein component [Propionibacterium freudenreichii subsp. freudenreichii]",0.211736626463062,18,24,22,27,22,22,"b73.a1.a1","OK",0.546775359945522,0.846149059582372,"gi|659918126|emb|CDP48561.1| polar amino acid ABC transporter, binding protein component [Propionibacterium freudenreichii subsp. freudenreichii]",1.109375
"gi|659918127|emb|CDP48562.1|",9.1929691100316,9.4309749301319,9.51824148953627,8.96065553947615,9.04608374665143,8.82996715565219,"b67.a1.a1",0.0197815463639016,0.0754822163885719,"gi|659918127|emb|CDP48562.1| polar amino acid ABC transporter, binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.357562185193987,28,34,32,33,30,30,"b67.a1.a1","OK",0.941704724703774,0.941704724703774,"gi|659918127|emb|CDP48562.1| polar amino acid ABC transporter, binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.98936170212766
"gi|659918128|emb|CDP48563.1|",7.399266342988,7.59814868581442,7.46870131171892,7.4370112439596,8.02897845420605,5.702640550569,"c455.a1.a1",0.570353845375088,0.708362377553642,"gi|659918128|emb|CDP48563.1| polar amino acid ABC transporter, inner membrane component [Propionibacterium freudenreichii subsp. freudenreichii]",1.43143434626607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918129|emb|CDP48564.1|",7.83653660136506,8.02197175852184,8.09206911306508,7.89381819757743,8.55111194748392,6.24276498299714,"c202.a1.a1",0.575216694140688,0.711355400003409,"gi|659918129|emb|CDP48564.1| polar amino acid ABC transporter, ATP binding component [Propionibacterium freudenreichii subsp. freudenreichii]",1.46512232708157,11,13,15,16,16,13,"c202.a1.a1","OK",0.512511201353559,0.822005500231885,"gi|659918129|emb|CDP48564.1| polar amino acid ABC transporter, ATP binding component [Propionibacterium freudenreichii subsp. freudenreichii]",1.15384615384615
"gi|659918130|emb|CDP48565.1|",8.10026976846403,7.88408499414201,8.18581363033342,6.36293865545638,7.02955864987488,5.1792856657435,"c362.a1.a1",0.0272107171383591,0.098026185964275,"gi|659918130|emb|CDP48565.1| Transcriptional regulator PadR family [Propionibacterium freudenreichii subsp. freudenreichii]",0.0369775557171633,6,6,6,7,5,2,"c362.a1.a1","OK",0.4789249571924,0.799662818104457,"gi|659918130|emb|CDP48565.1| Transcriptional regulator PadR family [Propionibacterium freudenreichii subsp. freudenreichii]",0.777777777777778
"gi|659918131|emb|CDP48566.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,3,"c311.a1.a1","OK",0.437031079898385,0.759882868652146,"gi|659918131|emb|CDP48566.1| Glutamine-dependent NAD(+) synthetase [Propionibacterium freudenreichii subsp. freudenreichii]",1.5
"gi|659918140|emb|CDP48485.1|",8.34768456515107,8.30956950904461,8.12576653540271,8.3153099380255,8.11370494154848,8.15518149992916,"b78.a1.a1",0.511322915742417,0.661980560559379,"gi|659918140|emb|CDP48485.1| DNA gyrase subunit B [Propionibacterium freudenreichii subsp. freudenreichii]",0.855994634548648,15,19,17,23,19,23,"b78.a1.a1","OK",0.19310327582549,0.506763029985248,"gi|659918140|emb|CDP48485.1| DNA gyrase subunit B [Propionibacterium freudenreichii subsp. freudenreichii]",1.27450980392157
"gi|659918141|emb|CDP48486.1|",7.80444143966824,7.58053149432798,7.43598960449949,7.85110046858559,7.68903358597516,7.79887671039497,"b62.a1.a1",0.215093772440924,0.391242521629466,"gi|659918141|emb|CDP48486.1| DNA gyrase subunit A [Propionibacterium freudenreichii subsp. freudenreichii]",1.41578210491222,21,20,15,32,25,25,"b62.a1.a1","OK",0.0264256385688189,0.131900385615053,"gi|659918141|emb|CDP48486.1| DNA gyrase subunit A [Propionibacterium freudenreichii subsp. freudenreichii]",1.46428571428571
"gi|659918144|emb|CDP48489.1|",7.28004066408325,7.50243137411781,7.64553797453343,7.20143003508434,7.70088950406131,6.61828163163348,"c516.a1.a1",0.411758027208756,0.580858539723477,"gi|659918144|emb|CDP48489.1| Hypothetical protein PFCIRM129_03455 [Propionibacterium freudenreichii subsp. freudenreichii]",0.73920311550583,2,2,3,4,4,2,"c516.a1.a1","OK",0.465685751632297,0.793035441750294,"gi|659918144|emb|CDP48489.1| Hypothetical protein PFCIRM129_03455 [Propionibacterium freudenreichii subsp. freudenreichii]",1.42857142857143
"gi|659918157|emb|CDP48502.1|",7.79507113204273,7.90432501001744,8.09545451866949,7.1790649983973,7.1304000188599,4.57247960080505,"c599.a1.a1",0.131370947236299,0.291935438302888,"gi|659918157|emb|CDP48502.1| transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.107197626414813,3,3,3,3,2,1,"c599.a1.a1","OK",0.437031079898384,0.759882868652146,"gi|659918157|emb|CDP48502.1| transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.666666666666667
"gi|659918162|emb|CDP48507.1|",8.22923498243993,8.25891548552858,8.12995714254227,6.42241550401569,6.23506314188599,6.65809912605057,"c507.a1.a1",0.000161606626263895,0.00781098693608824,"gi|659918162|emb|CDP48507.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.0183444379336836,4,4,4,3,2,3,"c507.a1.a1","OK",0.369477641958042,0.71787770031445,"gi|659918162|emb|CDP48507.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.666666666666667
"gi|659918163|emb|CDP48508.1|",9.23510121187351,9.10407326468633,9.08903748673149,9.79135858929168,10.3462762556321,9.42358752069154,"b57.a1.a1",0.0592670587126775,0.169334453464793,"gi|659918163|emb|CDP48508.1| ErfK/YbiS/YcfS/YnhG precursor [Propionibacterium freudenreichii subsp. freudenreichii]",7.3597497468163,27,31,28,43,37,34,"b57.a1.a1","OK",0.0473500330576788,0.204594545823851,"gi|659918163|emb|CDP48508.1| ErfK/YbiS/YcfS/YnhG precursor [Propionibacterium freudenreichii subsp. freudenreichii]",1.32558139534884
"gi|659918167|emb|CDP48512.1|",8.28645250702518,8.06119581955202,7.87921240690399,7.48631237022626,7.32130577623591,7.47912959678332,"c422.a1.a1",0.00752421085560772,0.0419619451562738,"gi|659918167|emb|CDP48512.1| Hypothetical transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.212716950640618,4,6,6,6,6,6,"c422.a1.a1","OK",0.731526092349857,0.91028495461161,"gi|659918167|emb|CDP48512.1| Hypothetical transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.125
"gi|659918171|emb|CDP48516.1|",7.13353819135596,7.28665934801912,7.58243875997118,6.82500922791201,7.44151525982368,4.60973106908946,"c391.a1.a1",0.297020925596438,0.471978457112149,"gi|659918171|emb|CDP48516.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.482745935126354,5,6,6,7,7,2,"c391.a1.a1","OK",0.861793960890905,0.913880409076629,"gi|659918171|emb|CDP48516.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.941176470588235
"gi|659918175|emb|CDP48520.1|",7.44594894765948,7.21003132446945,6.97201737701664,6.93215691297224,7.43625787760963,6.94612841696246,"c586.a1.a1",0.652293670122908,0.77053020095985,"gi|659918175|emb|CDP48520.1| Hypothetical transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.835114117685664,2,2,2,4,2,2,"c586.a1.a1","OK",0.592346843589966,0.853841547499271,"gi|659918175|emb|CDP48520.1| Hypothetical transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.33333333333333
"gi|659918176|emb|CDP48521.1|",7.07266721181848,7.26720304129424,7.37500009597645,8.5762765824012,8.99117100982332,8.54051029862907,"c163.a1.a1",0.0009880695071895,0.014576704738301,"gi|659918176|emb|CDP48521.1| Glucose-1-phosphate thymidylyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",31.5336161464711,5,10,10,23,20,17,"c163.a1.a1","OK",0.000116442278847979,0.00205967542998028,"gi|659918176|emb|CDP48521.1| Glucose-1-phosphate thymidylyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",2.4
"gi|659918179|emb|CDP48524.1|",8.29815734495096,8.57126876726708,8.79571476463574,7.12410178730882,7.63358612393742,4.96358072844308,"c191.a1.a1",0.0756313973666401,0.204028885919308,"gi|659918179|emb|CDP48524.1| Glycosyl transferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",0.0471640148250506,10,13,12,12,10,4,"c191.a1.a1","OK",0.248320326764402,0.586320626330285,"gi|659918179|emb|CDP48524.1| Glycosyl transferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",0.742857142857143
"gi|659918180|emb|CDP48525.1|",6.46081822045238,6.77508446295991,7.18724328739671,6.4167838471836,7.12642765438002,6.4167838471836,"c565.a1.a1",0.651268658332179,0.77053020095985,"gi|659918180|emb|CDP48525.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.767443472299427,2,3,3,3,3,0,"c565.a1.a1","OK",0.592346843589967,0.853841547499271,"gi|659918180|emb|CDP48525.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.75
"gi|659918181|emb|CDP48526.1|",7.9970507268602,7.69802588264669,7.6186111900092,7.21247184738722,7.49410056067858,7.50210877382089,"c118.a1.a1",0.0693864970102844,0.190730655288934,"gi|659918181|emb|CDP48526.1| Protein of unknown function [Propionibacterium freudenreichii subsp. freudenreichii]",0.415600590187325,11,19,15,6,6,7,"c118.a1.a1","OK",0.000975178938778286,0.00925620664840373,"gi|659918181|emb|CDP48526.1| Protein of unknown function [Propionibacterium freudenreichii subsp. freudenreichii]",0.422222222222222
"gi|659918186|emb|CDP48531.1|",7.36454236668355,7.62982539847972,7.77803126010677,7.78874304553041,8.1693372784729,7.26312135860806,"c183.a1.a1",0.632264958918737,0.754554889244583,"gi|659918186|emb|CDP48531.1| DTDP-glucose 4,6-dehydratase [Propionibacterium freudenreichii subsp. freudenreichii]",1.80876241463168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659918188|emb|CDP48533.1|",9.43954789952442,9.23368827647171,9.17939373052892,8.15395725687057,8.20648389702182,8.25951287730388,"b19.a1.a1",0.000221867099190123,0.00857784707243254,"gi|659918188|emb|CDP48533.1| Glycosyltransferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",0.0811953508068039,44,56,52,34,30,33,"b19.a1.a1","OK",0.000465417351314918,0.00521183395858725,"gi|659918188|emb|CDP48533.1| Glycosyltransferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",0.638157894736842
"gi|659918191|emb|CDP48536.1|",9.37266080407657,9.16559766768255,9.12518608734011,7.75653227891768,7.85167083418539,7.86845994077446,"b26.a1.a1",7.76057232909412e-05,0.00500125772319399,"gi|659918191|emb|CDP48536.1| Glycosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.0391750241368036,41,50,47,33,29,33,"b26.a1.a1","OK",0.00472631657638742,0.034206716221604,"gi|659918191|emb|CDP48536.1| Glycosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.688405797101449
"gi|659918192|emb|CDP48537.1|",6.43832567379269,6.70794819767744,6.95064902660778,6.55625117988342,7.12941083538143,4.58447237993364,"c609.a1.a1",0.48114141762148,0.641521890161973,"gi|659918192|emb|CDP48537.1| Glycosyltransferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",1.01999639846032,2,2,2,3,2,2,"c609.a1.a1","OK",0.781406071867713,0.91028495461161,"gi|659918192|emb|CDP48537.1| Glycosyltransferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",1.16666666666667
"gi|659918193|emb|CDP48538.1|",6.76641829490032,6.84851799503341,7.0920427100701,6.91986771837324,7.71360628489393,5.52174031396285,"c581.a1.a1",0.790664864403367,0.877859455820725,"gi|659918193|emb|CDP48538.1| Glycosyl transferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",2.38997058816349,3,3,3,3,2,1,"c581.a1.a1","OK",0.437031079898384,0.759882868652146,"gi|659918193|emb|CDP48538.1| Glycosyl transferase, family 2 [Propionibacterium freudenreichii subsp. freudenreichii]",0.666666666666667
"gi|659918195|emb|CDP48540.1|",7.30971879214597,7.44289590418225,7.91984390320203,6.81846797913087,7.52521281763356,7.05020420691837,"c561.a1.a1",0.200707396060246,0.37551706359659,"gi|659918195|emb|CDP48540.1| Hypothetical protein PFCIRM129_03730 [Propionibacterium freudenreichii subsp. freudenreichii]",0.390944435934231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
